pwsid,org_id,year,source_type,source_status,number_of_sources
CA1010001,124,2022,groundwater,approved,13
CA1010001,124,2022,groundwater,new,0
CA1010001,124,2022,purchased grounwater,approved,0
CA1010001,124,2022,purchased grounwater,new,0
CA1010001,124,2022,purchased surface water,approved,0
CA1010001,124,2022,purchased surface water,new,0
CA1010001,124,2022,standby sources,approved,0
CA1010001,124,2022,standby sources,new,0
CA1010001,124,2022,surface water,approved,0
CA1010001,124,2022,surface water,new,0
CA1010003,574,2022,emergency interties,approved,0
CA1010003,574,2022,emergency interties,new,0
CA1010003,574,2022,groundwater,approved,37
CA1010003,574,2022,groundwater,new,0
CA1010003,574,2022,purchased grounwater,approved,0
CA1010003,574,2022,purchased grounwater,new,0
CA1010003,574,2022,purchased surface water,approved,0
CA1010003,574,2022,purchased surface water,new,0
CA1010003,574,2022,standby sources,approved,1
CA1010003,574,2022,standby sources,new,0
CA1010003,574,2022,surface water,approved,1
CA1010003,574,2022,surface water,new,0
CA1010004,578,2022,emergency interties,approved,0
CA1010004,578,2022,emergency interties,new,NA
CA1010004,578,2022,groundwater,approved,0
CA1010004,578,2022,groundwater,new,NA
CA1010004,578,2022,purchased grounwater,approved,0
CA1010004,578,2022,purchased grounwater,new,NA
CA1010004,578,2022,purchased surface water,approved,0
CA1010004,578,2022,purchased surface water,new,NA
CA1010004,578,2022,standby sources,approved,0
CA1010004,578,2022,standby sources,new,NA
CA1010004,578,2022,surface water,approved,1
CA1010004,578,2022,surface water,new,NA
CA1010006,NA,2022,emergency interties,approved,0
CA1010006,NA,2022,emergency interties,new,NA
CA1010006,NA,2022,groundwater,approved,6
CA1010006,NA,2022,groundwater,new,NA
CA1010006,NA,2022,purchased grounwater,approved,0
CA1010006,NA,2022,purchased grounwater,new,NA
CA1010006,NA,2022,purchased surface water,approved,0
CA1010006,NA,2022,purchased surface water,new,NA
CA1010006,NA,2022,standby sources,approved,0
CA1010006,NA,2022,standby sources,new,NA
CA1010006,NA,2022,surface water,approved,0
CA1010006,NA,2022,surface water,new,NA
CA1010007,934,2022,emergency interties,approved,1
CA1010007,934,2022,emergency interties,new,NA
CA1010007,934,2022,groundwater,approved,215
CA1010007,934,2022,groundwater,new,1
CA1010007,934,2022,purchased grounwater,approved,0
CA1010007,934,2022,purchased grounwater,new,NA
CA1010007,934,2022,purchased surface water,approved,0
CA1010007,934,2022,purchased surface water,new,NA
CA1010007,934,2022,standby sources,approved,1
CA1010007,934,2022,standby sources,new,NA
CA1010007,934,2022,surface water,approved,4
CA1010007,934,2022,surface water,new,NA
CA1010018,1286,2022,emergency interties,approved,0
CA1010018,1286,2022,emergency interties,new,NA
CA1010018,1286,2022,groundwater,approved,6
CA1010018,1286,2022,groundwater,new,NA
CA1010018,1286,2022,purchased grounwater,approved,0
CA1010018,1286,2022,purchased grounwater,new,NA
CA1010018,1286,2022,purchased surface water,approved,0
CA1010018,1286,2022,purchased surface water,new,NA
CA1010018,1286,2022,standby sources,approved,0
CA1010018,1286,2022,standby sources,new,NA
CA1010018,1286,2022,surface water,approved,0
CA1010018,1286,2022,surface water,new,NA
CA1010019,1304,2022,emergency interties,approved,0
CA1010019,1304,2022,emergency interties,new,NA
CA1010019,1304,2022,groundwater,approved,7
CA1010019,1304,2022,groundwater,new,0
CA1010019,1304,2022,purchased grounwater,approved,0
CA1010019,1304,2022,purchased grounwater,new,NA
CA1010019,1304,2022,purchased surface water,approved,0
CA1010019,1304,2022,purchased surface water,new,NA
CA1010019,1304,2022,standby sources,approved,0
CA1010019,1304,2022,standby sources,new,NA
CA1010019,1304,2022,surface water,approved,0
CA1010019,1304,2022,surface water,new,NA
CA1010021,NA,2022,emergency interties,approved,0
CA1010021,NA,2022,emergency interties,new,0
CA1010021,NA,2022,groundwater,approved,3
CA1010021,NA,2022,groundwater,new,0
CA1010021,NA,2022,purchased grounwater,approved,0
CA1010021,NA,2022,purchased grounwater,new,0
CA1010021,NA,2022,purchased surface water,approved,0
CA1010021,NA,2022,purchased surface water,new,0
CA1010021,NA,2022,standby sources,approved,1
CA1010021,NA,2022,standby sources,new,0
CA1010021,NA,2022,surface water,approved,0
CA1010021,NA,2022,surface water,new,0
CA1010023,NA,2022,emergency interties,approved,0
